Ángulo del crista,Tasa con 35kV
theta/°,R(35kV)/Imp/s
,
3,3618
3.1,3372
3.2,2942
3.3,2619
3.4,2281
3.5,1987
3.6,1698
3.7,1465
3.8,1256
3.9,1109
4,1050
4.1,962
4.2,970
4.3,902
4.4,929
4.5,865
4.6,833
4.7,832
4.8,806
4.9,798
5,754
5.1,707
5.2,706
5.3,705
5.4,687
5.5,686
5.6,649
5.7,640
5.8,642
5.9,604
6,607
6.1,589
6.2,598
6.3,551
6.4,560
6.5,559
6.6,551
6.7,537
6.8,501
6.9,496
7,506
7.1,471
7.2,476
7.3,455
7.4,452
7.5,418
7.6,404
7.7,399
7.8,380
7.9,388
8,367
8.1,366
8.2,366
8.3,344
8.4,325
8.5,344
8.6,317
8.7,325
8.8,302
8.9,299
9,300
9.1,280
9.2,264
9.3,264
9.4,251
9.5,248
9.6,255
9.7,260
9.8,239
9.9,244
10,236
10.1,232
10.2,249
10.3,238
10.4,238
10.5,233
10.6,240
10.7,233
10.8,227
10.9,252
11,228
11.1,228
11.2,232
11.3,233
11.4,236
11.5,235
11.6,233
11.7,224
11.8,221
11.9,220
12,251
12.1,233
12.2,232
12.3,212
12.4,223
12.5,242
12.6,230
12.7,235
12.8,222
12.9,224
13,233
13.1,244
13.2,239
13.3,218
13.4,228
13.5,228
13.6,224
13.7,217
13.8,246
13.9,230
14,226
14.1,232
14.2,239
14.3,250
14.4,233
14.5,235
14.6,253
14.7,235
14.8,234
14.9,220
15,228
15.1,237
15.2,238
15.3,248
15.4,243
15.5,233
15.6,262
15.7,251
15.8,260
15.9,275
16,272
16.1,251
16.2,253
16.3,244
16.4,233
16.5,253
16.6,249
16.7,254
16.8,235
16.9,246
17,245
17.1,250
17.2,233
17.3,240
17.4,249
17.5,255
17.6,272
17.7,274
17.8,282
17.9,346
18,493
18.1,1390
18.2,1117
18.3,401
18.4,299
18.5,286
18.6,289
18.7,278
18.8,280
18.9,279
19,265
19.1,278
19.2,276
19.3,256
19.4,281
19.5,285
19.6,278
19.7,308
19.8,335
19.9,360
20,393
20.1,459
20.2,793
20.3,2544
20.4,7090
20.5,2894
20.6,530
20.7,355
20.8,301
20.9,280
21,249
21.1,257
21.2,264
21.3,244
21.4,251
21.5,248
21.6,240
21.7,238
21.8,242
21.9,237
22,234
22.1,246
22.2,232
22.3,240
22.4,231
22.5,223
22.6,224
22.7,225
22.8,218
22.9,224
23,209
23.1,218
23.2,226
23.3,206
23.4,201
23.5,214
23.6,213
23.7,206
23.8,215
23.9,217
24,191
24.1,208
24.2,221
24.3,216
24.4,194
24.5,210
24.6,195
24.7,203
24.8,208
24.9,199
25,212
25.1,203
25.2,189
25.3,201
25.4,194
25.5,195
25.6,201
25.7,196
25.8,211
25.9,202
26,211
26.1,184
26.2,179
26.3,192
26.4,210
26.5,190
26.6,195
26.7,186
26.8,185
26.9,195
27,206
27.1,199
27.2,200
27.3,201
27.4,202
27.5,208
27.6,194
27.7,199
27.8,205
27.9,196
28,204
28.1,196
28.2,188
28.3,193
28.4,186
28.5,200
28.6,187
28.7,184
28.8,192
28.9,213
29,178
29.1,195
29.2,188
29.3,188
29.4,184
29.5,197
29.6,184
29.7,183
29.8,206
29.9,188
30,204
30.1,195
30.2,199
30.3,194
30.4,200
30.5,204
30.6,198
30.7,198
30.8,211
30.9,190
31,202
31.1,207
31.2,198
31.3,197
31.4,183
31.5,179
31.6,183
31.7,194
31.8,188
31.9,193
32,191
32.1,212
32.2,186
32.3,185
32.4,204
32.5,189
32.6,191
32.7,185
32.8,177
32.9,184
33,177
33.1,189
33.2,171
33.3,186
33.4,182
33.5,175
33.6,178
33.7,181
33.8,171
33.9,175
34,171
34.1,173
34.2,187
34.3,176
34.4,175
34.5,172
34.6,170
34.7,172
34.8,169
34.9,173
35,184
35.1,187
35.2,181
35.3,184
35.4,171
35.5,175
35.6,177
35.7,190
35.8,179
35.9,179
36,176
36.1,167
36.2,176
36.3,190
36.4,181
36.5,195
36.6,182
36.7,181
36.8,183
36.9,186
37,188
37.1,191
37.2,195
37.3,190
37.4,197
37.5,178
37.6,178
37.7,187
37.8,178
37.9,176
38,176
38.1,179
38.2,183
38.3,180
38.4,171
38.5,166
38.6,178
38.7,167
38.8,176
38.9,176
39,175
39.1,182
39.2,165
39.3,184
39.4,177
39.5,162
39.6,172
39.7,173
39.8,159
39.9,166
40,178
40.1,176
40.2,162
40.3,170
40.4,176
40.5,165
40.6,174
40.7,177
40.8,170
40.9,172
41,174
41.1,179
41.2,179
41.3,211
41.4,231
41.5,375
41.6,433
41.7,242
41.8,173
41.9,177
42,167
42.1,188
42.2,170
42.3,183
42.4,177
42.5,170
42.6,168
42.7,187
42.8,180
42.9,171
43,184
43.1,183
43.2,166
43.3,181
43.4,189
43.5,181
43.6,183
43.7,172
43.8,183
43.9,176
44,185
44.1,184
44.2,182
44.3,191
44.4,192
44.5,179
44.6,168
44.7,184
44.8,173
44.9,175
45,184
45.1,193
45.2,168
45.3,176
45.4,188
45.5,179
45.6,173
45.7,194
45.8,189
45.9,176
46,160
46.1,180
46.2,186
46.3,180
46.4,201
46.5,191
46.6,207
46.7,206
46.8,196
46.9,185
47,196
47.1,194
47.2,203
47.3,200
47.4,240
47.5,264
47.6,378
47.7,1243
47.8,1272
47.9,835
48,492
48.1,255
48.2,225
48.3,213
48.4,199
48.5,204
48.6,213
48.7,185
48.8,0
48.9,192
49,198
49.1,180
49.2,189
49.3,188
49.4,202
49.5,191
49.6,178
49.7,182
49.8,187
49.9,177
50,201
50.1,173
50.2,193
50.3,171
50.4,176
50.5,174
50.6,184
50.7,184
50.8,177
50.9,174
51,172
51.1,189
51.2,166
51.3,194
51.4,189
51.5,163
51.6,173
